<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2004.01.01	04:00:00	1.78580	1.78590	1.78580	1.78580	43	0	50
2004.01.01	08:00:00	1.78590	1.78590	1.78580	1.78590	33	0	50
2004.01.01	12:00:00	1.78580	1.78590	1.78580	1.78580	41	0	50
2004.01.01	16:00:00	1.78590	1.78620	1.78350	1.78400	87	0	50
2004.01.01	20:00:00	1.78420	1.78510	1.78130	1.78390	202	0	50
2004.01.02	00:00:00	1.78400	1.78690	1.77860	1.77930	1084	0	50
2004.01.02	04:00:00	1.77920	1.78410	1.77900	1.78390	1157	0	50
2004.01.02	08:00:00	1.78370	1.79060	1.78370	1.78830	2034	0	50
2004.01.02	12:00:00	1.78820	1.79100	1.78160	1.79070	2195	0	50
2004.01.02	16:00:00	1.79040	1.79520	1.78560	1.79270	2051	0	50
2004.01.02	20:00:00	1.79260	1.79420	1.79190	1.79320	1084	0	50
2004.01.05	00:00:00	1.79350	1.79680	1.79320	1.79500	1309	0	50
2004.01.05	04:00:00	1.79490	1.79680	1.79490	1.79600	1352	0	50
2004.01.05	08:00:00	1.79620	1.79950	1.79540	1.79760	2151	0	50
2004.01.05	12:00:00	1.79770	1.80610	1.79740	1.80550	2329	0	50
2004.01.05	16:00:00	1.80550	1.81060	1.80350	1.80680	2230	0	50
2004.01.05	20:00:00	1.80690	1.80890	1.80460	1.80680	1536	0	50
2004.01.06	00:00:00	1.80640	1.80820	1.80480	1.80740	1131	0	50
2004.01.06	04:00:00	1.80740	1.81250	1.80590	1.81190	1319	0	50
2004.01.06	08:00:00	1.81200	1.82280	1.81110	1.82100	2159	0	50
2004.01.06	12:00:00	1.82110	1.82810	1.81930	1.82170	2408	0	50
2004.01.06	16:00:00	1.82180	1.82560	1.81970	1.82430	2317	0	50
2004.01.06	20:00:00	1.82450	1.82620	1.82000	1.82100	1763	0	50
2004.01.07	00:00:00	1.82070	1.82200	1.81760	1.81890	1465	0	50
2004.01.07	04:00:00	1.81880	1.82160	1.81840	1.82150	1304	0	50
2004.01.07	08:00:00	1.82130	1.82620	1.81350	1.81600	2402	0	50
2004.01.07	12:00:00	1.81580	1.82130	1.81200	1.81980	2260	0	50
2004.01.07	16:00:00	1.81980	1.82210	1.81720	1.81970	2020	0	50
2004.01.07	20:00:00	1.81970	1.82080	1.81650	1.81720	1747	0	50
2004.01.08	00:00:00	1.81730	1.82020	1.81290	1.81350	1663	0	50
2004.01.08	04:00:00	1.81360	1.81760	1.81280	1.81740	1545	0	50
2004.01.08	08:00:00	1.81730	1.81830	1.81070	1.81180	2207	0	50
2004.01.08	12:00:00	1.81190	1.83250	1.81050	1.82940	2604	0	50
2004.01.08	16:00:00	1.82930	1.83630	1.82800	1.83260	2251	0	50
2004.01.08	20:00:00	1.83260	1.83510	1.83080	1.83460	1537	0	50
2004.01.09	00:00:00	1.83530	1.83540	1.83150	1.83290	1338	0	50
2004.01.09	04:00:00	1.83300	1.83410	1.82790	1.83080	1528	0	50
2004.01.09	08:00:00	1.83090	1.83760	1.82820	1.83700	2311	0	50
2004.01.09	12:00:00	1.83730	1.84440	1.83200	1.84340	2544	0	50
2004.01.09	16:00:00	1.84330	1.84890	1.84140	1.84610	2263	0	50
2004.01.09	20:00:00	1.84620	1.85020	1.84440	1.84810	1407	0	50
2004.01.12	00:00:00	1.84720	1.84810	1.84550	1.84710	1159	0	50
2004.01.12	04:00:00	1.84700	1.84780	1.84620	1.84640	1037	0	50
2004.01.12	08:00:00	1.84630	1.85840	1.84600	1.85210	2109	0	50
2004.01.12	12:00:00	1.85270	1.85770	1.84550	1.84910	2561	0	50
2004.01.12	16:00:00	1.84910	1.85500	1.84700	1.84700	2197	0	50
